species,j,k,eta,sigma_mu
0.00000,-5.16953,0.56837,2.53012,0.00997
0.00000,2.60898,0.56060,2.21145,0.00438
0.00000,-16.07336,0.45574,2.01623,0.00244
0.00000,30.54385,0.45245,1.82425,0.00112
0.00000,-3.94817,0.50469,2.19563,0.00861
0.00000,-10.56852,0.48236,2.33309,0.00920
0.00000,-6.02534,0.57713,1.84638,0.00566
0.00000,174.02934,0.28043,1.41143,0.00049
0.00000,86.78001,0.43436,1.90435,0.00155
0.00000,3.96651,0.54511,1.98200,0.00783
0.00000,7.02696,0.53980,1.60073,0.00645
0.00000,4.11182,0.59642,1.94909,0.00477
0.00000,-0.73990,0.48967,2.50711,0.00491
0.00000,1.73069,0.61585,1.87258,0.00698
0.00000,21.55552,0.60902,1.76002,0.00211
0.00000,4.77325,0.53336,1.69765,0.00804
0.00000,14.79386,0.46501,1.53916,0.00900
0.00000,-0.39383,0.80819,2.34109,0.00366
0.00000,-3.14847,0.59944,2.11843,0.00470
0.00000,-0.44355,0.57506,2.03261,0.00604
0.00000,37.24350,0.45568,1.66448,0.00456
0.00000,6.04832,0.47475,1.51613,0.00916
0.00000,112.49577,0.46812,1.77857,0.00050
0.00000,6.12674,0.47752,1.77622,0.00792
0.00000,5.25603,0.61145,2.35561,0.00096
0.00000,31.90989,0.48951,2.00442,0.00364
0.00000,59.86926,0.49220,1.54274,0.00208
0.00000,-0.82745,0.56314,2.00150,0.00648
0.00000,-8.93153,0.53941,2.28416,0.00781
0.00000,-0.38260,5.31521,4.49415,0.00018
0.00000,-8.19149,0.50150,2.34529,0.00822
0.00000,4.49213,0.60144,1.92844,0.00531
0.00000,27.35341,0.53523,1.56298,0.00449
0.00000,-3.51727,0.44813,2.53950,0.00768
0.00000,-12.95541,0.42621,1.88092,0.00515
0.00000,-1.29320,0.52949,2.06920,0.00658
0.00000,5.51421,0.49314,2.15666,0.00305
0.00000,0.60668,0.56448,2.16700,0.00532
0.00000,49.09893,0.40425,1.37488,0.00657
0.00000,-22.32006,0.51139,1.99179,0.00693
0.00000,15.60443,0.58083,1.78267,0.00325
0.00000,-0.11310,1.23567,1.73672,0.00336
0.00000,-4.82620,0.73021,2.59097,0.00593
0.00000,-6.10655,0.56939,1.87912,0.00799
0.00000,5.22559,0.45728,1.83122,0.01390
0.00000,18.63600,0.60308,1.45646,0.00179
0.00000,760.79974,0.12560,1.87714,0.00049
