# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
NGC 7129,21 42 59,+66 06 48,105.404,9.885,,,,,,,7.0,,,,
Berkeley 10,03 39 32,+66 29 09,138.616,8.879,2290,14.50,0.87,8.80,,350,10.0,,,,
NGC 3231,10 26 58,+66 48 42,141.924,44.653,,,,,,,2.5,,,,
Berkeley 61,00 48 30,+67 12 00,122.647,4.330,3335,16.00,1.09,8.30,,251.8,3.0,,,,
Berkeley 59,00 02 13,+67 25 11,118.22,5.00,1000,13.78,1.22,6.80,,87.2,20.4,,-6.50,-4.40,+00.73
NGC 7762,23 50 01,+68 02 18,117.219,5.851,744,11.56,0.710,8.425,,75.8,14.0,,,,
Collinder 427,20 59 30,+68 10 00,103.998,14.262,,,,,,,4.0,,,,
NGC 7023,21 01 35,+68 10 12,104.06,14.19,,,,,,,5.0,,,,
Skiff 1,00 58 24,+68 28 00,123.574,5.604,1600,13.66,0.85,9.08,,156.2,10.0,,,,
King 11,23 47 48,+68 38 00,117.163,6.477,2892,16.24,1.270,9.699,,326.2,5.0,-0.23,-34.00,,
Collinder 285,14 41 06,+69 34 00,109.867,44.677,25,1.99,0.00,8.30,A0,17.6,400.0,,,,
vdBergh 152,22 13 30,+70 15 00,110.272,11.364,,,,,,,25.0,,,,
NGC 0110,00 27 25,+71 23 00,120.996,8.602,,,,,,,20.0,,,,
Platais 3,04 35 24,+71 34 48,138.74,15.98,200,6.82,0.10,8.70,,55.1,300.0,,7.00,3.30,-20.50
NGC 2408,07 40 09,+71 39 18,143.625,29.466,,,,,,,24.0,,,,
Berkeley 99,23 21 36,+71 45 00,115.952,10.106,4900,14.38,0.30,9.50,,859.8,5.0,,,,
Collinder 463,01 48 24,+71 57 00,127.192,9.389,702,10.03,0.259,8.373,,114.5,29.0,,,-0.91,-0.90
Collinder 471,22 07 06,+72 00 00,110.898,13.084,,,,,,,130.0,,,,
NGC 7708,23 35 01,+72 50 00,117.399,10.788,,,,,,,23.0,,,,
Collinder 464,05 22 24,+73 17 00,138.373,19.610,,,,,,,120.0,,,,
vdBergh 150,22 12 48,+73 20 00,112.062,13.905,,,,,,,35.0,,,,
Berkeley 8,02 01 06,+75 29 00,127.352,13.213,3150,14.85,0.75,9.50,,777.,5.0,,,,
NGC 5385,13 52 27,+76 10 24,118.197,40.389,,,,,,,8.0,,,,
NGC 0188,00 47 28,+85 15 18,122.843,22.384,2047,11.81,0.082,9.632,F2,779.5,17.0,-0.02,-44.00,-1.48,-0.56
