# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
Berkeley 12,04 44 36,+42 41 00,161.670,-1.991,3162,14.67,0.70,9.67,,-109.9,4.0,+0.07,,,
NGC 1039,02 42 05,+42 45 42,143.658,-15.613,499,8.71,0.070,8.249,B8,-134.3,35.0,-0.30,-7.8,-0.07,-7.10
Skiff 2,04 58 14,+43 00 48,163.007,0.145,2125,12.19,0.18,8.95,,5.4,5.0,,,,
Berkeley 14,05 00 12,+43 28 00,162.873,0.707,5500,15.31,0.52,9.20,,67.9,5.0,,,,
NGC 1664,04 51 06,+43 40 30,161.677,-0.446,1199,11.18,0.254,8.465,B8,-9.3,9.0,,+7.8,+1.96,-5.10
NGC 1582,04 31 53,+43 49 00,159.303,-3.039,1100,11.29,0.35,8.48,B8,,15.0,,,,
NGC 6866,20 03 55,+44 09 30,79.560,6.839,1450,11.33,0.169,8.576,A2,172.7,14.0,,,-3.33,-5.03
NGC 1193,03 05 32,+44 23 00,146.749,-12.199,4300,13.54,0.12,9.90,,-908.6,3.0,-0.29,,,
Berkeley 15,05 02 06,+44 30 43,162.258,1.619,3300,15.32,0.88,8.40,,93.2,8.0,,,,
ASCC 13,05 13 19,+44 34 48,163.40,3.26,800,10.14,0.20,7.71,,45.5,84.0,,-7.30,-0.75,-1.66
Collinder 428,21 03 12,+44 35 00,86.212,-1.410,,,,,,,10.0,,,,
NGC 0956,02 32 30,+44 35 36,141.178,-14.624,,,,,,,9.0,,,,
NGC 6997,20 56 40,+44 38 30,85.491,-0.495,620,10.64,0.54,8.00,,-5.4,8.0,,,,
NGC 2666,08 49 47,+44 42 12,175.916,39.278,,,,,,,11.0,,,,
Ruprecht 148,04 46 30,+44 44 00,160.336,-0.396,3028,14.58,0.702,7.724,,-20.9,4.0,,,,
Basel 14,21 21 18,+44 49 00,88.589,-3.591,964,11.94,0.65,8.30,,-60.4,5.0,,,,
ASCC 11,03 32 16,+44 50 24,150.56,-9.24,650,9.53,0.15,8.61,,-104.4,42.0,,-3.45,+0.15,-5.01
Berkeley 11,04 20 36,+44 55 00,157.082,-3.642,2881,15.23,0.947,7.719,,-183.0,5.0,,,+1.45,-2.37
NGC 6989,20 54 06,+45 14 24,85.654,0.238,,,,,,,10.0,,,,
NGC 1605,04 34 53,+45 16 12,158.574,-1.579,2559,15.05,0.97,7.61,,-70.5,6.0,,,,
Berkeley 18,05 22 12,+45 24 00,163.631,5.017,5800,15.24,0.46,9.63,,507.2,12.0,+0.02,,,
NGC 7039,21 10 48,+45 37 00,87.879,-1.705,951,10.30,0.131,7.820,B5,-28.3,14.0,,,-0.48,-2.99
NGC 7093,21 34 21,+45 57 54,91.043,-4.348,,,,,,,9.0,,,,
Barkhatova 1,20 53 42,+46 02 00,86.217,0.802,,,,,,,4.0,,,,
Berkeley 89,20 24 36,+46 03 00,83.160,4.822,3005,15.58,1.03,8.93,,252.6,3.0,,,,
Basel 12,21 10 30,+46 14 00,88.295,-1.246,1466,12.60,0.57,8.50,,-31.9,4.0,,,,
ASCC 124,22 48 07,+46 15 00,101.73,-11.48,600,9.36,0.15,8.48,,-119.4,36.0,,,+1.34,-2.41
NGC 7062,21 23 27,+46 22 42,89.959,-2.748,1480,12.25,0.452,8.465,A1,-71.0,5.0,,,-2.52,-5.83
NGC 6811,19 37 17,+46 23 18,79.210,12.015,1215,10.92,0.160,8.799,A0,252.9,14.0,,+7.1,-5.47,-7.53
NGC 1146,02 57 37,+46 26 16,144.487,-11.086,,,,,,,0.5,,,,
NGC 7209,22 05 07,+46 29 00,95.496,-7.339,1168,10.86,0.168,8.617,B9,-149.2,14.0,,,+1.53,+1.30
NGC 1883,05 25 54,+46 29 24,163.083,6.159,4800,14.12,0.23,9.00,,515.0,3.0,-0.22,-30.6,,
Basel 13,21 12 18,+46 34 00,88.750,-1.244,1236,11.51,0.34,8.80,,-26.8,10.0,,,,
ASCC 23,06 20 20,+46 40 11,167.52,14.42,600,9.11,0.07,8.45,,149.4,43.2,,,+1.31,-0.59
Berkeley 90,20 35 18,+46 50 00,84.877,3.784,2430,15.50,1.15,8.00,,160.4,5.0,,,,
ASCC 119,22 19 11,+46 54 00,97.73,-8.39,1000,10.31,0.10,8.83,,-145.9,25.2,,,-6.15,-6.06
NGC 7082,21 29 17,+47 07 36,91.199,-2.905,1442,11.53,0.237,8.233,,-73.1,25.0,-0.01,,-0.71,-4.27
NGC 1245,03 14 42,+47 14 12,146.647,-8.931,2876,13.22,0.300,8.704,B9,-446.5,9.0,+0.10,,,
IC 5146,21 53 24,+47 16 00,94.383,-5.495,852,11.49,0.593,6.00,B1,-81.6,20.0,,,-1.77,-1.70
NGC 7011,21 01 49,+47 21 12,88.126,0.607,,,,,,,3.0,,,,
NGC 6991,20 54 32,+47 27 00,87.39,1.60,700,9.23,0.00,9.11,,19.5,50.4,,-6.00,7.00,+09.26
NGC 1798,05 11 39,+47 41 30,160.703,4.850,3550,13.90,0.37,9.20,,300.1,5.0,,,,
IC 1369,21 12 06,+47 44 00,89.576,-0.419,2083,13.37,0.572,8.640,,-15.2,5.0,,,,
NGC 7071,21 26 39,+47 55 12,91.426,-2.024,,,,,,,3.0,,,,
NGC 7067,21 24 23,+48 00 36,91.216,-1.695,3600,15.11,0.75,8.00,B0,-39.4,3.0,,,,
Berkeley 88,20 21 36,+48 05 00,84.552,6.395,,,,,,,2.0,,,,
NGC 7092,21 31 48,+48 26 00,92.403,-2.242,326,7.61,0.013,8.445,A0,-12.8,29.0,,-7.5,-7.90,-20.10
Berkeley 91,21 10 52,+48 32 00,90.064,0.132,2400,15.00,1.00,8.70,,5.5,3.0,,,,
Aveni-Hunter 1,23 37 48,+48 31 12,110.55,-12.58,500,8.80,0.10,8.26,,-108.9,47.0,,,,
Melotte 20,03 22 00,+48 37 00,146.568,-5.862,185,6.61,0.090,7.854,B2,-18.9,300.0,,,,
Basel 15,21 15 54,+48 51 00,90.820,-0.105,1355,12.74,0.67,8.50,,-2.5,6.0,,,,
Platais 1,21 30 02,+48 58 36,92.561,-1.646,1268,11.62,0.357,8.244,,-36.4,10.0,,,-3.73,-3.97
NGC 7686,23 30 07,+49 08 00,109.513,-11.608,,,,,A0,,14.0,,,,
NGC 1724,05 03 32,+49 29 30,158.450,4.845,,,,,,,2.0,,,,
NGC 1513,04 09 57,+49 30 54,152.590,-1.574,1320,12.68,0.67,8.11,,-36.3,10.0,,,+4.95,-3.50
Alessi 1,00 53 27,+49 34 11,123.26,-13.30,800,9.82,0.10,8.85,,-184.0,54.0,,,6.51,-7.70
NGC 2126,06 02 32,+49 52 00,163.237,13.129,1200,11.00,0.20,9.10,,295,5.0,,,,
NGC 7243,22 15 08,+49 53 54,98.857,-5.524,808,10.22,0.220,8.058,B7,-77.8,29.0,,-16.00,-0.46,-1.20
NGC 6895,20 16 29,+50 13 48,85.887,8.281,,,,,,,30.0,,,,
NGC 1545,04 20 57,+50 15 12,153.359,0.184,711,10.20,0.303,8.448,B8,2.3,18.0,-0.06,-12.00,+0.25,+0.20
NGC 1624,04 40 38,+50 28 04,155.356,2.616,6025,16.38,0.80,6.60,,275,6.0,,,,
NGC 7801,00 00 21,+50 44 30,114.730,-11.315,,,,,,,8.0,,,,
Berkeley 67,04 37 49,+50 46 47,154.826,2.490,2450,14.40,0.79,9.00,,106.4,10.0,,,,
NGC 7058,21 21 53,+50 49 11,92.90,0.59,400,8.20,0.06,8.35,,4.1,9.6,,,7.33,+03.18
NGC 7031,21 07 12,+50 52 30,91.336,2.303,900,12.42,0.854,8.138,B5,36.2,14.0,,,,
Berkeley 53,20 55 56,+51 02 48,90.293,3.749,3100,17.17,1.52,9.09,,202.7,12.0,,,,
ASCC 126,23 06 17,+51 02 59,106.58,-8.46,800,9.82,0.10,7.26,,-117.7,36.0,,-12.69,-0.66,-3.01
NGC 1528,04 15 23,+51 12 54,152.057,0.258,776,10.25,0.258,8.568,A0,3.5,16.0,,-10.3,+1.37,-1.40
