# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-0645	BLG603.14	 59965	17:44:20.20	-34:18:36.4	2455692.993	2011-05-11.49	1.791	1.034	1.318
2011-BLG-0646	BLG502.12	 120875	17:51:27.30	-33:38:41.4	2455712.335	2011-05-30.84	6.699	0.340	3.069
2011-BLG-0647	BLG507.07	 107978	17:55:11.67	-32:08:24.9	2455712.188	2011-05-30.69	14.679	0.380	2.770
2011-BLG-0648	BLG507.16	 77224	17:54:39.67	-31:44:19.1	2455704.176	2011-05-22.68	7.909	0.513	2.136
2011-BLG-0649	BLG507.23	 113650	17:56:02.37	-31:30:40.5	2455712.599	2011-05-31.10	8.243	0.914	1.411
2011-BLG-0650	BLG508.29	 134463	17:57:17.60	-32:24:19.7	2455715.920	2011-06-03.42	47.881	0.161	6.264
2011-BLG-0651	BLG515.01	 58230	18:05:23.25	-32:54:34.2	2455708.151	2011-05-26.65	9.374	0.420	2.533
2011-BLG-0652	BLG515.03	 8008	18:04:16.54	-32:49:33.6	2455713.602	2011-06-01.10	52.934	0.033	30.32
2011-BLG-0653	BLG515.15	 37222	18:01:11.48	-32:33:32.9	2455698.205	2011-05-16.70	1.921	0.203	5.003
2011-BLG-0654	BLG515.27	 25270	18:05:03.00	-31:44:41.7	2455711.983	2011-05-30.48	21.095	0.984	1.353
2011-BLG-0655	BLG518.22	 65706	18:07:45.26	-26:35:24.2	2455714.669	2011-06-02.17	1.633	0.100	10.05
2011-BLG-0656	BLG519.13	 95091	18:07:48.09	-28:15:40.4	2455786.235	2011-08-12.73	49.163	0.382	2.758
2011-BLG-0657	BLG519.20	 80949	18:09:20.50	-27:45:28.8	2455722.156	2011-06-09.66	27.478	1.180	1.238
2011-BLG-0658	BLG519.31	 153492	18:06:51.77	-27:32:22.7	2455714.926	2011-06-02.43	28.677	0.239	4.269
2011-BLG-0659	BLG520.07	 24009	18:06:41.83	-29:41:02.2	2455718.664	2011-06-06.16	26.341	0.829	1.497
2011-BLG-0660	BLG520.21	 50976	18:08:40.29	-29:09:56.0	2455747.586	2011-07-05.09	24.147	0.801	1.530
2011-BLG-0661	BLG535.02	 100376	17:53:09.30	-32:43:20.1	2455717.279	2011-06-04.78	2.590	0.242	4.220
2011-BLG-0662	BLG535.30	 47772	17:50:42.53	-31:51:24.6	2455719.720	2011-06-07.22	8.449	0.507	2.157
2011-BLG-0663	BLG603.06	 57521	17:44:26.65	-34:39:30.2	2455721.358	2011-06-08.86	25.134	0.577	1.942
2011-BLG-0664	BLG603.20	 90087	17:46:23.15	-34:05:42.9	2455718.585	2011-06-06.08	16.187	0.220	4.628
2011-BLG-0665	BLG502.16	 77984	17:48:50.56	-33:35:39.6	2455740.811	2011-06-28.31	12.200	1.091	1.283
2011-BLG-0666	BLG508.02	 101155	17:58:40.55	-33:25:39.9	2455726.022	2011-06-13.52	38.572	0.306	3.381
2011-BLG-0667	BLG515.20	 85800	18:03:51.34	-32:05:40.0	2455794.969	2011-08-21.47	69.641	0.539	2.052
2011-BLG-0668	BLG518.14	 89328	18:07:10.49	-26:46:51.8	2455751.813	2011-07-09.31	29.926	0.642	1.789
2011-BLG-0669	BLG518.17	 141255	18:10:56.83	-26:33:48.5	2455736.730	2011-06-24.23	37.807	0.001	1117.
2011-BLG-0670	BLG519.21	 4516	18:08:50.10	-27:56:49.1	2455728.237	2011-06-15.74	4.968	1.073	1.294
2011-BLG-0671	BLG520.29	 51619	18:08:47.34	-28:52:08.3	2455723.889	2011-06-11.39	3.564	0.973	1.362
2011-BLG-0672	BLG520.29	 85629	18:08:45.49	-28:38:36.8	2455729.193	2011-06-16.69	7.729	0.328	3.167
2011-BLG-0673	BLG520.31	 40307	18:07:25.14	-28:37:45.6	2455732.368	2011-06-19.87	16.644	0.893	1.431
2011-BLG-0674	BLG520.31	 152617	18:06:55.77	-28:48:00.3	2455732.292	2011-06-19.79	10.190	0.000	27980
2011-BLG-0675	BLG535.04	 19678	17:52:00.80	-32:44:25.3	2455790.340	2011-08-16.84	115.854	0.556	2.001
2011-BLG-0676	BLG535.07	 72851	17:49:26.10	-32:41:32.3	2455723.996	2011-06-11.50	1.601	0.082	12.19
2011-BLG-0677	BLG535.18	 85537	17:53:45.93	-32:13:29.8	2455723.103	2011-06-10.60	10.367	0.331	3.147
2011-BLG-0678	BLG535.22	 33310	17:51:03.75	-32:14:10.8	2455752.528	2011-07-10.03	19.545	0.285	3.614
2011-BLG-0679	BLG580.04	 171904	18:08:04.67	-25:52:25.3	2455727.754	2011-06-15.25	26.815	0.121	8.276
2011-BLG-0680	BLG580.30	 22846	18:07:57.67	-25:00:17.8	2455723.390	2011-06-10.89	7.195	0.070	14.26
2011-BLG-0681	BLG603.29	 50858	17:45:53.00	-33:45:05.0	2455753.828	2011-07-11.33	16.290	0.524	2.099
2011-BLG-0682	BLG519.07	 94475	18:06:20.74	-28:35:57.3	2455733.166	2011-06-20.67	29.373	0.177	5.714
2011-BLG-0683	BLG518.22	 138095	18:07:32.04	-26:39:32.9	2455752.486	2011-07-09.99	47.190	0.261	3.935
2011-BLG-0684	BLG603.31	 112539	17:43:57.38	-33:43:45.6	2455732.220	2011-06-19.72	22.005	1.260	1.205
2011-BLG-0685	BLG508.31	 17972	17:56:15.30	-32:24:29.4	2455740.428	2011-06-27.93	23.546	0.544	2.037
2011-BLG-0686	BLG515.27	 29960	18:04:59.71	-31:41:26.8	2455735.698	2011-06-23.20	4.523	0.317	3.276
2011-BLG-0687	BLG518.06	 148219	18:06:50.70	-27:21:21.4	2455830.853	2011-09-26.35	83.657	0.222	4.586
2011-BLG-0688	BLG535.27	 19398	17:53:30.38	-31:48:46.6	2455745.004	2011-07-02.50	9.311	0.281	3.659
2011-BLG-0689	BLG603.15	 36273	17:43:47.16	-34:12:03.3	2455728.586	2011-06-16.09	15.885	0.438	2.446
2011-BLG-0690	BLG501.23	 11248	17:50:42.14	-29:43:08.0	2455744.412	2011-07-01.91	6.211	0.210	4.837
2011-BLG-0691	BLG501.27	 172069	17:53:10.30	-29:28:35.6	2455740.429	2011-06-27.93	22.223	0.090	11.12
2011-BLG-0692	BLG502.01	 5246	17:54:07.28	-34:06:25.6	2455767.572	2011-07-25.07	55.005	0.407	2.606
2011-BLG-0693	BLG502.29	 125180	17:51:30.51	-32:57:49.1	2455767.211	2011-07-24.71	42.169	0.875	1.448
2011-BLG-0694	BLG505.11	 63322	17:58:25.59	-29:28:12.9	2455737.426	2011-06-24.93	17.336	0.014	71.08
2011-BLG-0695	BLG511.09	 159091	18:04:53.03	-27:36:33.4	2455744.156	2011-07-01.66	15.306	1.262	1.204
2011-BLG-0696	BLG511.10	 176230	18:04:10.82	-27:30:18.8	2455743.515	2011-07-01.01	8.257	1.724	1.092
2011-BLG-0697	BLG512.21	 139662	18:02:58.17	-28:29:17.0	2455736.984	2011-06-24.48	22.622	1.464	1.142
2011-BLG-0698	BLG512.23	 33255	18:01:52.37	-28:26:50.5	2455809.443	2011-09-04.94	0.057	0.391	2.700
2011-BLG-0699	BLG512.26	 20486	18:05:27.21	-28:09:56.1	2455730.933	2011-06-18.43	9.471	1.635	1.106
2011-BLG-0700	BLG512.27	 14530	18:04:48.51	-28:11:59.1	2455736.956	2011-06-24.46	0.811	0.947	1.382
2011-BLG-0701	BLG512.32	 176492	18:00:45.86	-28:06:09.6	2455738.221	2011-06-25.72	4.645	0.600	1.883
2011-BLG-0702	BLG513.27	 28753	18:04:41.93	-29:15:38.3	2455741.598	2011-06-29.10	4.545	1.071	1.295
2011-BLG-0703	BLG514.16	 56692	18:00:23.47	-31:14:43.6	2455739.090	2011-06-26.59	2.992	0.000	23130
2011-BLG-0704	BLG515.15	 97971	18:01:04.70	-32:22:32.8	2455804.751	2011-08-31.25	43.069	0.119	8.420
2011-BLG-0705	BLG520.20	 79656	18:09:25.76	-28:58:11.7	2455736.346	2011-06-23.85	4.551	1.693	1.097
2011-BLG-0706	BLG520.27	 24710	18:10:22.21	-28:44:11.2	2455743.628	2011-07-01.13	20.159	0.436	2.452
2011-BLG-0707	BLG534.03	 112078	17:52:19.07	-31:37:42.0	2455740.308	2011-06-27.81	14.192	1.055	1.305
2011-BLG-0708	BLG535.18	 75904	17:53:56.31	-32:17:51.7	2455749.992	2011-07-07.49	29.096	0.786	1.550
2011-BLG-0709	BLG580.20	 127414	18:08:49.68	-25:31:12.6	2455742.988	2011-06-30.49	24.870	0.037	27.22
2011-BLG-0710	BLG611.28	 52825	17:36:23.02	-26:43:25.7	2455759.476	2011-07-16.98	37.499	1.731	1.091
2011-BLG-0711	BLG501.23	 73951	17:50:22.43	-29:42:41.1	2455741.833	2011-06-29.33	2.828	1.573	1.118
2011-BLG-0712	BLG505.13	 56887	17:56:54.16	-29:27:24.7	2455738.630	2011-06-26.13	0.608	0.668	1.736
2011-BLG-0713	BLG505.23	 120072	17:56:03.10	-29:00:28.6	2455745.327	2011-07-02.83	12.825	0.878	1.445
2011-BLG-0714	BLG508.14	 41721	17:56:04.13	-33:06:37.1	2455774.416	2011-07-31.92	46.300	0.282	3.649
2011-BLG-0715	BLG512.25	 46914	18:00:34.31	-28:22:09.8	2455740.591	2011-06-28.09	4.719	0.459	2.347
2011-BLG-0716	BLG515.12	 54939	18:03:26.96	-32:24:53.5	2455737.124	2011-06-24.62	6.715	1.546	1.123
2011-BLG-0717	BLG518.26	 41840	18:10:32.27	-26:23:48.0	2455803.240	2011-08-29.74	44.603	1.078	1.291
2011-BLG-0718	BLG534.18	 59310	17:54:09.04	-31:00:50.4	2455735.215	2011-06-22.71	10.396	0.468	2.310
2011-BLG-0719	BLG603.02	 12771	17:47:37.15	-34:39:53.0	2455733.236	2011-06-20.74	9.886	1.094	1.282
2011-BLG-0720	BLG506.17	 113593	18:00:14.76	-30:19:52.1	2455739.109	2011-06-26.61	3.838	0.758	1.588
2011-BLG-0721	BLG512.01	 121081	18:05:03.61	-29:02:06.7	2455741.304	2011-06-28.80	1.967	1.796	1.082
2011-BLG-0722	BLG513.05	 13976	18:02:36.89	-30:19:41.9	2455827.949	2011-09-23.45	56.916	1.242	1.211
2011-BLG-0723	BLG519.25	 10200	18:05:57.28	-27:54:23.0	2455738.732	2011-06-26.23	6.850	1.928	1.067
2011-BLG-0724	BLG520.23	 130252	18:07:07.75	-28:59:26.1	2455738.661	2011-06-26.16	13.727	1.438	1.149
2011-BLG-0725	BLG603.26	 109559	17:47:41.85	-33:48:46.6	2455791.708	2011-08-18.21	24.793	0.429	2.491
2011-BLG-0726	BLG509.31	 57755	17:56:03.80	-33:37:01.9	2455558.083	2010-12-27.58	47.311	1.090	1.284
2011-BLG-0727	BLG510.19	 82005	17:58:58.04	-35:10:06.8	2455545.507	2010-12-15.01	44.401	1.154	1.250
2011-BLG-0728	BLG609.24	 81317	17:37:23.68	-34:35:02.8	2455591.956	2011-01-30.46	117.714	0.000	45548
2011-BLG-0729	BLG612.21	 64583	17:29:52.27	-27:49:15.3	2455603.287	2011-02-10.79	23.491	0.265	3.879
2011-BLG-0730	BLG615.02	 92575	17:25:37.82	-30:20:17.4	2455612.461	2011-02-19.96	27.330	0.021	47.97
2011-BLG-0731	BLG617.02	 6199	17:17:40.02	-30:14:42.1	2455600.626	2011-02-08.13	1.913	0.879	1.444
2011-BLG-0732	BLG653.29	 58059	17:35:31.43	-28:09:08.7	2455598.889	2011-02-06.39	14.492	0.205	4.944
2011-BLG-0733	BLG653.31	 36616	17:34:10.29	-28:14:18.1	2455609.329	2011-02-16.83	18.964	0.630	1.814
2011-BLG-0734	BLG653.31	 124421	17:33:51.29	-28:03:03.4	2455606.054	2011-02-13.55	16.616	0.734	1.624
2011-BLG-0735	BLG654.21	 40077	17:35:36.89	-29:41:28.0	2455601.658	2011-02-09.16	19.480	0.535	2.064
2011-BLG-0736	BLG654.28	 32500	17:36:19.51	-29:20:52.9	2455607.338	2011-02-14.84	42.681	0.673	1.727
2011-BLG-0737	BLG654.29	 53730	17:35:29.28	-29:27:16.6	2455601.491	2011-02-08.99	25.306	0.033	30.27
2011-BLG-0738	BLG503.02	 59303	17:53:07.12	-35:11:38.7	2455609.384	2011-02-16.88	34.111	0.253	4.051
2011-BLG-0739	BLG503.22	 101466	17:50:47.42	-34:37:01.3	2455629.270	2011-03-08.77	18.651	0.118	8.532
2011-BLG-0740	BLG503.24	 35502	17:49:31.77	-34:28:33.6	2455645.359	2011-03-24.86	43.327	0.639	1.794
2011-BLG-0741	BLG509.01	 107972	17:59:33.85	-34:39:28.0	2455638.986	2011-03-18.49	55.040	0.835	1.490
2011-BLG-0742	BLG509.02	 43992	17:59:07.34	-34:41:41.2	2455611.640	2011-02-19.14	64.342	0.758	1.587
2011-BLG-0743	BLG509.03	 60135	17:58:20.84	-34:37:18.6	2455603.637	2011-02-11.14	21.122	0.138	7.283
2011-BLG-0744	BLG604.14	 132497	17:43:48.59	-35:23:57.1	2455636.503	2011-03-16.00	18.525	0.016	60.72
2011-BLG-0745	BLG615.31	 10544	17:23:09.55	-29:25:38.6	2455618.312	2011-02-25.81	18.860	0.411	2.585
2011-BLG-0746	BLG625.06	 44024	17:39:03.30	-23:20:08.4	2455607.045	2011-02-14.54	45.643	0.020	50.73
2011-BLG-0747	BLG625.31	 18061	17:39:13.18	-22:18:45.6	2455566.997	2011-01-05.50	33.861	0.487	2.232
2011-BLG-0748	BLG630.10	 98546	17:46:34.89	-21:08:06.4	2455586.711	2011-01-25.21	27.367	1.319	1.183
2011-BLG-0749	BLG632.22	 44148	17:45:00.10	-23:25:31.9	2455610.384	2011-02-17.88	5.097	0.859	1.464
2011-BLG-0750	BLG632.24	 57590	17:43:38.18	-23:16:17.4	2455595.596	2011-02-03.10	24.352	1.702	1.096
2011-BLG-0751	BLG653.14	 76650	17:33:51.23	-28:38:32.1	2455640.232	2011-03-19.73	20.198	0.314	3.303
2011-BLG-0752	BLG653.15	 41055	17:33:23.10	-28:51:57.3	2455613.781	2011-02-21.28	11.935	0.000	61293
2011-BLG-0753	BLG654.05	 1383	17:35:12.70	-30:27:26.2	2455619.658	2011-02-27.16	18.009	0.343	3.046
2011-BLG-0754	BLG503.13	 53292	17:50:58.17	-34:59:14.9	2455642.910	2011-03-22.41	110.685	0.039	25.52
2011-BLG-0755	BLG509.10	 72704	17:58:53.19	-34:25:45.0	2455632.850	2011-03-12.35	34.974	0.208	4.875
2011-BLG-0756	BLG521.04	 41795	18:08:45.36	-31:04:29.6	2455650.911	2011-03-30.41	49.671	0.277	3.717
2011-BLG-0757	BLG522.05	 109436	18:12:58.70	-26:33:29.0	2455630.673	2011-03-10.17	4.726	0.396	2.671
2011-BLG-0758	BLG522.17	 73908	18:16:26.57	-26:06:57.7	2455638.688	2011-03-18.19	8.074	0.393	2.692
2011-BLG-0759	BLG523.05	 106089	18:13:08.96	-27:59:43.2	2455637.768	2011-03-17.27	6.127	0.239	4.279
2011-BLG-0760	BLG523.11	 65503	18:14:42.59	-27:33:11.0	2455612.727	2011-02-20.23	22.314	1.174	1.241
2011-BLG-0761	BLG523.12	 42324	18:14:11.88	-27:24:05.6	2455631.131	2011-03-10.63	15.912	1.005	1.338
2011-BLG-0762	BLG523.15	 8410	18:12:03.67	-27:37:18.3	2455644.119	2011-03-23.62	101.826	0.474	2.283
2011-BLG-0763	BLG523.23	 5229	18:12:45.66	-27:19:59.8	2455606.236	2011-02-13.74	37.794	0.749	1.601
2011-BLG-0764	BLG523.25	 175457	18:10:50.19	-27:10:37.3	2455622.907	2011-03-02.41	18.553	0.138	7.286
2011-BLG-0765	BLG524.10	 152557	18:15:16.23	-28:46:46.7	2455632.038	2011-03-11.54	64.855	0.021	47.44
2011-BLG-0766	BLG524.15	 56232	18:12:06.93	-28:50:39.2	2455642.515	2011-03-22.02	36.235	0.246	4.162
2011-BLG-0767	BLG524.17	 146119	18:16:40.96	-28:28:51.9	2455629.554	2011-03-09.05	21.202	0.394	2.681
2011-BLG-0768	BLG525.06	 39425	18:12:47.01	-30:26:05.5	2455642.403	2011-03-21.90	16.109	0.489	2.223
2011-BLG-0769	BLG525.10	 98601	18:15:32.50	-29:53:11.0	2455631.188	2011-03-10.69	8.199	0.629	1.816
2011-BLG-0770	BLG525.25	 74424	18:11:32.83	-29:33:30.1	2455639.481	2011-03-18.98	5.569	0.200	5.072
2011-BLG-0771	BLG525.27	 64286	18:15:40.55	-29:17:48.3	2455653.650	2011-04-02.15	14.264	0.594	1.897
2011-BLG-0772	BLG545.10	 87422	18:15:01.92	-25:03:08.5	2455635.398	2011-03-14.90	6.953	0.545	2.033
2011-BLG-0773	BLG545.13	 39831	18:13:08.61	-25:06:55.5	2455642.338	2011-03-21.84	34.539	0.116	8.666
2011-BLG-0774	BLG545.24	 67851	18:11:35.68	-24:52:59.2	2455638.752	2011-03-18.25	57.191	0.141	7.160
2011-BLG-0775	BLG573.08	 3834	18:12:09.86	-31:57:02.8	2455592.189	2011-01-30.69	44.965	0.065	15.42
2011-BLG-0776	BLG610.12	 13614	17:39:57.80	-36:07:05.2	2455623.369	2011-03-02.87	8.299	0.936	1.392
2011-BLG-0777	BLG612.25	 68827	17:27:00.80	-27:55:05.6	2455628.803	2011-03-08.30	8.352	0.211	4.829
2011-BLG-0778	BLG613.09	 108317	17:31:49.50	-29:23:29.1	2455634.024	2011-03-13.52	13.617	0.007	136.5
2011-BLG-0779	BLG615.03	 74272	17:25:02.10	-30:17:41.7	2455636.968	2011-03-16.47	10.058	0.000	26713
2011-BLG-0780	BLG625.07	 33344	17:38:25.88	-23:22:43.8	2455631.585	2011-03-11.09	12.105	0.229	4.451
2011-BLG-0781	BLG625.20	 28634	17:41:10.09	-22:33:50.0	2455630.796	2011-03-10.30	6.849	0.683	1.709
2011-BLG-0782	BLG626.03	 145149	17:40:45.27	-24:24:34.0	2455639.078	2011-03-18.58	13.061	0.000	41479
2011-BLG-0783	BLG626.11	 116866	17:40:49.56	-24:20:58.6	2455637.966	2011-03-17.47	2.884	0.131	7.662
2011-BLG-0784	BLG626.14	 43420	17:39:00.80	-24:17:09.9	2455632.742	2011-03-12.24	20.995	0.296	3.485
2011-BLG-0785	BLG626.22	 112819	17:39:27.98	-23:59:48.0	2455585.295	2011-01-23.80	91.009	0.075	13.38
2011-BLG-0786	BLG631.16	 130182	17:42:31.11	-22:14:22.3	2455622.470	2011-03-01.97	30.166	0.672	1.728
2011-BLG-0787	BLG637.21	 49624	17:50:45.45	-21:22:46.5	2455635.121	2011-03-14.62	8.228	0.269	3.818
2011-BLG-0788	BLG646.29	 31470	18:02:47.96	-25:43:56.2	2455610.270	2011-02-17.77	15.140	0.445	2.411
2011-BLG-0789	BLG503.12	 145885	17:51:18.08	-34:55:58.8	2455646.834	2011-03-26.33	11.621	0.720	1.646
2011-BLG-0790	BLG509.29	 109229	17:57:27.29	-33:35:38.8	2455705.260	2011-05-23.76	6.264	0.438	2.445
2011-BLG-0791	BLG510.20	 9119	17:58:28.38	-35:18:42.4	2455643.116	2011-03-22.62	14.552	0.338	3.085
2011-BLG-0792	BLG521.04	 105657	18:08:42.69	-30:52:57.6	2455655.717	2011-04-04.22	17.112	0.676	1.722
2011-BLG-0793	BLG524.03	 3992	18:15:01.41	-29:11:55.4	2455644.460	2011-03-23.96	17.220	1.315	1.185
2011-BLG-0794	BLG524.30	 210007	18:13:08.96	-27:59:43.2	2455637.651	2011-03-17.15	5.918	0.225	4.536
2011-BLG-0795	BLG524.31	 169290	18:12:24.47	-28:09:53.0	2455636.031	2011-03-15.53	54.917	1.098	1.279
2011-BLG-0796	BLG604.02	 31093	17:47:10.71	-35:55:55.8	2455644.425	2011-03-23.93	12.472	0.122	8.223
2011-BLG-0797	BLG637.01	 108339	17:52:29.71	-22:04:51.6	2455631.682	2011-03-11.18	27.813	0.601	1.881
2011-BLG-0798	BLG654.05	 34951	17:35:03.74	-30:22:56.0	2455640.774	2011-03-20.27	5.977	0.074	13.59
2011-BLG-0799	BLG503.23	 115487	17:49:53.71	-34:29:44.8	2455675.695	2011-04-24.20	35.093	0.475	2.280
2011-BLG-0800	BLG503.24	 49410	17:49:24.42	-34:40:14.9	2455658.792	2011-04-07.29	11.560	0.727	1.634
2011-BLG-0801	BLG503.32	 4425	17:49:38.23	-34:22:31.1	2455677.880	2011-04-26.38	63.768	0.144	7.003
2011-BLG-0802	BLG509.05	 127637	17:56:30.08	-34:40:35.8	2455665.513	2011-04-14.01	20.894	1.192	1.232
2011-BLG-0803	BLG509.24	 64217	17:55:20.91	-33:55:58.2	2455656.256	2011-04-04.76	7.502	0.950	1.380
2011-BLG-0804	BLG510.04	 43459	17:57:31.62	-35:51:23.2	2455654.982	2011-04-03.48	15.692	0.254	4.032
2011-BLG-0805	BLG510.29	 79546	17:57:27.20	-34:58:24.2	2455670.623	2011-04-19.12	17.201	0.706	1.669
2011-BLG-0806	BLG516.28	 4310	18:04:24.42	-33:09:59.0	2455647.551	2011-03-27.05	15.122	0.540	2.047
2011-BLG-0807	BLG523.11	 86308	18:14:42.30	-27:25:29.7	2455658.800	2011-04-07.30	6.365	1.601	1.113
2011-BLG-0808	BLG523.29	 87228	18:14:05.10	-26:49:24.2	2455649.370	2011-03-28.87	17.251	0.611	1.858
2011-BLG-0809	BLG524.05	 22586	18:13:33.94	-29:03:37.5	2455654.029	2011-04-02.53	7.687	0.888	1.435
2011-BLG-0810	BLG524.15	 21186	18:12:09.64	-28:46:02.0	2455658.341	2011-04-06.84	11.653	0.349	2.994
2011-BLG-0811	BLG524.24	 143852	18:11:54.02	-28:22:19.9	2455657.311	2011-04-05.81	22.402	0.092	10.96
2011-BLG-0812	BLG588.13	 20733	18:08:38.34	-33:01:39.2	2455652.976	2011-04-01.48	21.498	0.471	2.298
2011-BLG-0813	BLG609.01	 100842	17:42:03.49	-35:06:31.6	2455653.728	2011-04-02.23	7.924	0.285	3.618
2011-BLG-0814	BLG609.06	 14830	17:38:39.76	-35:13:07.2	2455655.733	2011-04-04.23	8.632	0.221	4.616
2011-BLG-0815	BLG609.06	 62265	17:38:15.03	-35:18:46.9	2455637.138	2011-03-16.64	20.050	0.452	2.380
2011-BLG-0816	BLG613.08	 72038	17:32:41.03	-29:21:25.7	2455643.468	2011-03-22.97	17.207	0.689	1.698
2011-BLG-0817	BLG613.26	 26748	17:32:09.91	-28:50:46.5	2455645.649	2011-03-25.15	20.130	0.000	53822
2011-BLG-0818	BLG624.09	 8913	17:42:32.11	-21:48:43.5	2455655.269	2011-04-03.77	12.453	0.451	2.385
2011-BLG-0819	BLG624.14	 65434	17:38:46.99	-21:50:30.0	2455650.605	2011-03-30.11	8.848	0.365	2.871
2011-BLG-0820	BLG637.22	 104637	17:49:51.21	-21:25:15.7	2455633.083	2011-03-12.58	58.061	0.215	4.739
2011-BLG-0821	BLG653.19	 57238	17:36:55.71	-28:25:32.2	2455666.934	2011-04-15.43	10.967	0.065	15.37
2011-BLG-0822	BLG654.03	 57961	17:36:07.93	-30:20:18.9	2455655.971	2011-04-04.47	28.277	0.687	1.701
2011-BLG-0823	BLG654.13	 98549	17:34:34.62	-29:57:18.2	2455660.561	2011-04-09.06	32.196	0.093	10.83
2011-BLG-0824	BLG654.14	 23704	17:34:29.15	-29:51:20.8	2455660.185	2011-04-08.69	21.416	0.783	1.554
2011-BLG-0825	BLG503.07	 67019	17:49:25.41	-35:11:06.1	2455675.259	2011-04-23.76	19.213	0.254	4.031
2011-BLG-0826	BLG523.20	 9499	18:14:57.77	-27:18:43.4	2455663.319	2011-04-11.82	42.173	0.027	37.23
2011-BLG-0827	BLG524.05	 28151	18:13:34.33	-29:01:47.1	2455666.016	2011-04-14.52	9.614	1.493	1.135
2011-BLG-0828	BLG524.19	 87809	18:15:30.34	-28:20:57.7	2455663.578	2011-04-12.08	16.412	0.060	16.56
2011-BLG-0829	BLG612.03	 24279	17:31:01.48	-28:20:39.9	2455683.384	2011-05-01.88	27.922	0.275	3.733
2011-BLG-0830	BLG612.16	 80780	17:26:57.98	-28:15:03.8	2455658.130	2011-04-06.63	9.934	0.566	1.973
2011-BLG-0831	BLG613.30	 682	17:29:33.75	-28:53:26.1	2455663.820	2011-04-12.32	9.553	0.986	1.352
2011-BLG-0832	BLG638.24	 13551	17:48:57.37	-22:43:00.1	2455669.865	2011-04-18.36	6.551	0.330	3.155
2011-BLG-0833	BLG646.05	 85541	18:02:05.70	-26:31:31.0	2455661.700	2011-04-10.20	109.102	0.087	11.52
2011-BLG-0834	BLG660.12	 47691	17:46:01.70	-33:02:50.4	2455675.307	2011-04-23.81	26.857	0.645	1.782
2011-BLG-0835	BLG503.15	 71159	17:49:22.10	-34:50:01.7	2455684.818	2011-05-03.32	31.867	0.125	8.018
2011-BLG-0836	BLG503.30	 81280	17:50:45.30	-34:24:13.0	2455686.178	2011-05-04.68	24.652	1.186	1.235
2011-BLG-0837	BLG509.06	 86478	17:55:59.91	-34:43:03.0	2455689.521	2011-05-08.02	17.787	0.271	3.790
2011-BLG-0838	BLG523.09	 45072	18:16:11.75	-27:37:47.5	2455687.381	2011-05-05.88	11.541	0.379	2.777
2011-BLG-0839	BLG523.13	 123372	18:13:14.28	-27:32:50.4	2455694.103	2011-05-12.60	16.828	0.680	1.714
2011-BLG-0840	BLG523.21	 125322	18:13:48.74	-27:13:43.5	2455677.822	2011-04-26.32	16.564	0.129	7.804
2011-BLG-0841	BLG523.27	 182023	18:15:02.09	-26:49:06.6	2455679.279	2011-04-27.78	41.154	0.503	2.171
2011-BLG-0842	BLG573.25	 100871	18:05:59.25	-31:29:14.3	2455695.887	2011-05-14.39	18.385	0.076	13.19
2011-BLG-0843	BLG604.27	 82389	17:47:03.72	-35:01:22.5	2455693.865	2011-05-12.37	36.336	0.115	8.706
2011-BLG-0844	BLG613.10	 19764	17:31:39.24	-29:19:59.6	2455698.298	2011-05-16.80	28.974	0.039	25.35
2011-BLG-0845	BLG615.26	 15665	17:26:47.98	-29:21:19.1	2455677.917	2011-04-26.42	5.729	1.214	1.223
2011-BLG-0846	BLG624.23	 77960	17:38:46.94	-21:26:25.9	2455671.951	2011-04-20.45	13.332	0.440	2.435
2011-BLG-0847	BLG626.11	 25721	17:41:20.40	-24:10:28.7	2455679.045	2011-04-27.55	11.979	0.478	2.268
2011-BLG-0848	BLG632.02	 109970	17:46:44.65	-24:01:03.1	2455691.211	2011-05-09.71	25.660	0.000	86150
2011-BLG-0849	BLG632.13	 88916	17:44:51.35	-23:41:30.4	2455735.707	2011-06-23.21	55.434	0.774	1.566
2011-BLG-0850	BLG632.19	 11312	17:47:12.81	-23:21:35.0	2455692.314	2011-05-10.81	64.965	0.494	2.206
2011-BLG-0851	BLG632.20	 160395	17:46:08.69	-23:15:55.8	2455701.140	2011-05-19.64	15.665	0.068	14.76
2011-BLG-0852	BLG632.30	 23959	17:45:11.93	-22:54:54.4	2455737.507	2011-06-25.01	85.720	0.986	1.352
2011-BLG-0853	BLG638.15	 118394	17:48:33.13	-22:59:06.0	2455703.475	2011-05-21.98	60.630	0.359	2.922
2011-BLG-0854	BLG648.21	 231	17:46:56.63	-26:45:23.9	2455664.629	2011-04-13.13	19.320	0.554	2.007
2011-BLG-0855	BLG503.04	 15332	17:51:52.73	-35:15:41.7	2455801.451	2011-08-27.95	119.841	1.186	1.235
2011-BLG-0856	BLG509.17	 114695	18:00:17.14	-33:57:25.7	2455735.415	2011-06-22.91	54.481	0.182	5.555
2011-BLG-0857	BLG610.32	 42556	17:37:17.41	-35:37:20.5	2455704.165	2011-05-22.66	47.471	0.259	3.959
2011-BLG-0858	BLG612.30	 54700	17:29:00.13	-27:35:45.0	2455686.334	2011-05-04.83	6.236	0.706	1.668
