#  Name       RA      DEC       l       b     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
BLG703     18:37:30    -33:32:15       1:11:03    -11:56:13   2000.0    18.6250000   -33.5375000     1.1841032   -11.9370125   BLG 703
BLG704     18:38:03    -34:46:05       0:05:16    -12:33:11   2000.0    18.6341667   -34.7680556     0.0878627   -12.5530832   BLG 704
BLG705     18:41:50    -30:27:40       4:25:46    -11:28:47   2000.0    18.6972222   -30.4611111     4.4295079   -11.4798006   BLG 705
BLG706     18:47:06    -29:50:45       5:29:09    -12:15:30   2000.0    18.7850000   -29.8458333     5.4859033   -12.2582380   BLG 706
BLG707     18:47:31    -31:04:35       4:22:28    -12:50:45   2000.0    18.7919444   -31.0763889     4.3744092   -12.8458370   BLG 707
BLG708     18:52:50    -30:27:40       5:25:39    -13:38:27   2000.0    18.8805556   -30.4611111     5.4275924   -13.6407530   BLG 708
BLG709     18:58:02    -29:50:45       6:28:15    -14:25:36   2000.0    18.9672222   -29.8458333     6.4708975   -14.4266558   BLG 709
BLG710     18:58:31    -31:04:35       5:20:35    -15:00:19   2000.0    18.9752778   -31.0763889     5.3429346   -15.0053879   BLG 710
BLG711     19:03:50    -30:27:40       6:23:22    -15:49:16   2000.0    19.0638889   -30.4611111     6.3893256   -15.8210391   BLG 711
BLG712     17:52:07    -24:55:25       4:11:06     00:49:36   2000.0    17.8686111   -24.9236111     4.1849418     0.8267011   BLG 712
BLG713     17:57:30    -24:18:30       5:20:03     00:04:54   2000.0    17.9583333   -24.3083333     5.3341265     0.0817055   BLG 713
BLG714     17:40:24    -25:18:25       2:28:46     02:53:40   2000.0    17.6733333   -25.3069444     2.4793700     2.8943953   BLG 714
BLG715     17:35:00    -24:41:30       2:20:50     04:15:27   2000.0    17.5833333   -24.6916667     2.3471920     4.2575298   BLG 715
BLG716     18:03:00    -23:41:35       6:29:32    -00:42:10   2000.0    18.0500000   -23.6930556     6.4921289    -0.7028032   BLG 716
BLG717     18:08:30    -23:04:40       7:38:45     -1:30:12   2000.0    18.1416667   -23.0777778     7.6458058    -1.5033339   BLG 717
BLG718     18:44:17    -11:25:15      21:56:47     -3:36:56   2000.0    18.7380556   -11.4208333    21.9464616    -3.6155956   BLG 718
BLG719     18:44:20    -12:39:05      20:51:08     -4:11:01   2000.0    18.7388889   -12.6513889    20.8522637    -4.1836582   BLG 719
BLG720     18:44:27    -13:52:55      19:45:49     -4:45:52   2000.0    18.7408333   -13.8819444    19.7637445    -4.7645365   BLG 720
BLG721     18:44:34    -15:06:45      18:40:24     -5:20:36   2000.0    18.7427778   -15.1125000    18.6732482    -5.3434332   BLG 721
BLG722     18:44:36    -16:20:35      17:34:18     -5:54:08   2000.0    18.7433333   -16.3430556    17.5715508    -5.9022320   BLG 722
BLG723     18:44:44    -17:34:25      16:28:42     -6:28:48   2000.0    18.7455556   -17.5736111    16.4782732    -6.4801076   BLG 723
BLG724     18:44:52    -18:48:15      15:22:56     -7:03:19   2000.0    18.7477778   -18.8041667    15.3822949    -7.0552536   BLG 724
BLG725     18:44:56    -20:02:05      14:16:35     -7:36:48   2000.0    18.7488889   -20.0347222    14.2764204    -7.6133723   BLG 725
BLG726     18:49:19    -12:02:10      21:57:13     -4:59:34   2000.0    18.8219444   -12.0361111    21.9535889    -4.9927206   BLG 726
BLG727     18:49:28    -13:16:00      20:51:56     -5:34:39   2000.0    18.8244444   -13.2666667    20.8655533    -5.5773907   BLG 727
BLG728     18:49:36    -14:29:50      19:46:24     -6:09:22   2000.0    18.8266667   -14.4972222    19.7733714    -6.1561190   BLG 728
BLG729     18:49:40    -15:43:40      18:40:17     -6:43:05   2000.0    18.8277778   -15.7277778    18.6714783    -6.7179274   BLG 729
BLG730     18:49:50    -16:57:30      17:34:39     -7:17:55   2000.0    18.8305556   -16.9583333    17.5776010    -7.2985497   BLG 730
